Timestamp,Temperature,Pressure,Humidity,Battery,IP
="2026-07-22 11:05:53",22.48,986.44,37.76,2.976,69.58.106.82
="2026-07-22 11:07:12",22.15,986.44,38.49,2.982,69.58.106.82
="2026-07-22 11:07:39",22.38,986.50,39.75,2.943,69.58.106.82
="2026-07-22 11:08:24",22.88,986.46,39.07,2.948,69.58.106.82
="2026-07-22 11:08:55",22.88,986.52,37.28,2.938,69.58.106.82
="2026-07-22 11:09:54",22.71,986.52,37.26,2.931,69.58.106.82
="2026-07-22 13:32:18",22.48,986.44,37.76,2.976,69.58.106.82
="2026-07-25 04:37:51",24.19,992.03,56.13,2.790,142.189.5.66
="2026-07-25 04:38:09",25.02,992.04,54.32,2.792,142.189.5.66
="2026-07-25 04:38:55",25.32,992.04,54.26,2.743,142.189.5.66
="2026-07-25 04:39:14",25.36,991.98,53.15,2.755,142.189.5.66
="2026-07-25 04:39:29",25.42,992.04,53.59,2.752,142.189.5.66
="2026-07-25 04:39:41",25.41,992.01,55.00,2.749,142.189.5.66
="2026-07-25 04:39:57",25.40,991.93,54.61,2.759,142.189.5.66
="2026-07-25 04:40:10",25.40,992.01,54.08,2.865,142.189.5.66
="2026-07-25 04:44:30",24.85,992.01,54.03,2.902,142.189.5.66
="2026-07-25 04:44:45",24.82,992.06,53.84,2.902,142.189.5.66
="2026-07-25 04:47:31",24.83,992.04,54.02,2.921,142.189.5.66
="2026-07-25 04:47:44",24.88,992.04,53.94,2.894,142.189.5.66
="2026-07-25 04:47:58",24.87,991.98,53.79,2.895,142.189.5.66
="2026-07-25 05:02:03",25.14,992.01,55.03,3.432,142.189.5.66
="2026-07-25 05:07:20",27.41,991.85,47.86,3.514,142.189.5.66
="2026-07-25 05:27:18",29.23,991.77,42.71,2.895,142.189.5.66
="2026-07-25 05:27:31",28.79,991.85,43.51,2.921,142.189.5.66
="2026-07-25 05:28:24",28.03,991.76,47.26,2.741,142.189.5.66
="2026-07-25 05:28:37",28.11,991.76,47.18,2.907,142.189.5.66
="2026-07-25 05:28:50",28.15,991.76,46.91,2.895,142.189.5.66
="2026-07-25 05:29:03",28.16,991.74,45.77,2.719,142.189.5.66
="2026-07-25 05:29:14",28.14,991.76,45.67,2.905,142.189.5.66
="2026-07-25 05:29:27",28.09,991.68,45.68,2.897,142.189.5.66
="2026-07-25 05:30:28",28.22,991.71,46.81,2.919,142.189.5.66
="2026-07-25 05:35:20",28.24,991.68,46.70,2.927,142.189.5.66
="2026-07-25 05:36:42",28.93,991.62,49.12,2.885,142.189.5.66
="2026-07-25 05:38:28",29.28,991.65,49.73,2.887,142.189.5.66
="2026-07-25 05:38:45",29.22,991.60,45.17,2.889,142.189.5.66
="2026-07-25 05:39:33",28.95,991.62,44.90,2.841,142.189.5.66
="2026-07-25 05:39:52",28.96,991.71,44.93,2.874,142.189.5.66
="2026-07-25 05:41:06",29.23,991.60,44.77,2.877,142.189.5.66
="2026-07-25 05:48:23",29.30,991.54,44.64,2.864,142.189.5.66
="2026-07-25 05:48:36",29.10,991.54,47.88,2.864,142.189.5.66
="2026-07-25 05:48:53",28.93,991.51,49.30,2.859,142.189.5.66
="2026-07-25 05:49:51",28.12,991.68,47.11,3.536,142.189.5.66
="2026-07-25 05:50:03",28.02,991.56,47.28,3.526,142.189.5.66
="2026-07-25 05:50:16",27.97,991.59,47.46,3.531,142.189.5.66
="2026-07-25 05:50:32",27.96,991.62,47.80,3.529,142.189.5.66
="2026-07-25 05:50:45",27.95,991.62,48.17,3.514,142.189.5.66
="2026-07-25 05:50:59",27.95,991.62,49.01,3.524,142.189.5.66
="2026-07-25 05:51:14",27.95,991.62,48.18,3.511,142.189.5.66
="2026-07-25 05:55:19",28.01,991.54,48.65,3.507,142.189.5.66
="2026-07-25 05:55:31",27.95,991.51,47.41,3.534,142.189.5.66
="2026-07-25 05:55:43",27.90,991.48,47.55,3.529,142.189.5.66
="2026-07-25 05:55:55",27.84,991.48,47.69,3.531,142.189.5.66
="2026-07-25 05:56:08",27.80,991.51,50.88,3.509,142.189.5.66
="2026-07-25 05:56:20",27.77,991.48,50.96,3.529,142.189.5.66
="2026-07-25 05:56:32",27.76,991.45,50.89,3.531,142.189.5.66
="2026-07-25 05:56:44",27.68,991.45,50.31,3.526,142.189.5.66
="2026-07-25 05:56:56",27.63,991.53,51.14,3.531,142.189.5.66
="2026-07-25 05:57:08",27.60,991.45,53.95,3.534,142.189.5.66
="2026-07-25 05:57:20",27.59,991.45,52.79,3.531,142.189.5.66
="2026-07-25 05:58:17",28.02,991.48,48.94,3.551,142.189.5.66
="2026-07-25 05:58:29",28.18,991.48,50.33,3.556,142.189.5.66
="2026-07-25 05:58:41",28.17,991.45,47.60,3.551,142.189.5.66
="2026-07-25 05:58:53",28.10,991.48,47.89,3.549,142.189.5.66
="2026-07-25 05:59:05",28.09,991.45,48.09,3.549,142.189.5.66
="2026-07-25 05:59:58",28.11,991.37,48.08,3.556,142.189.5.66
="2026-07-25 06:00:11",27.99,991.37,47.35,3.511,142.189.5.66
="2026-07-25 06:00:41",27.93,991.42,48.68,3.577,142.189.5.66
="2026-07-25 06:01:05",27.93,991.42,50.48,3.556,142.189.5.66
="2026-07-25 06:02:57",28.92,991.34,49.38,3.551,142.189.5.66
="2026-07-25 06:04:08",28.30,991.39,47.26,3.556,142.189.5.66
="2026-07-25 06:04:44",28.13,991.34,50.97,3.551,142.189.5.66
="2026-07-25 06:05:00",28.06,991.36,56.49,3.556,142.189.5.66
="2026-07-25 06:05:12",28.03,991.42,52.39,3.519,142.189.5.66
="2026-07-25 06:05:29",28.00,991.39,51.63,3.551,142.189.5.66
="2026-07-25 06:05:42",27.95,991.39,50.32,3.559,142.189.5.66
="2026-07-25 06:05:55",27.92,991.39,53.44,3.554,142.189.5.66
="2026-07-25 06:06:10",27.92,991.34,50.09,3.551,142.189.5.66
="2026-07-25 06:07:23",24.19,992.03,56.13,2.790,142.189.5.66
="2026-07-29 11:21:24",24.19,992.03,56.13,2.790,142.189.5.66
="2026-07-30 07:08:30",25.56,990.56,37.45,3.556,69.58.106.82
="2026-07-30 07:08:47",25.53,990.56,36.15,3.551,69.58.106.82
="2026-07-30 07:17:22",25.08,990.68,44.20,3.577,69.58.106.82
="2026-07-30 07:17:42",25.08,990.73,38.34,3.569,69.58.106.82
="2026-07-30 07:29:01",26.44,990.68,44.04,3.629,69.58.106.82
="2026-07-30 07:53:34",30.58,990.66,30.05,3.634,69.58.106.82
="2026-07-30 07:53:57",29.04,990.68,31.07,3.613,69.58.106.82
="2026-07-30 08:15:33",26.15,990.65,40.63,3.629,69.58.106.82
="2026-07-30 08:15:52",25.98,990.65,36.64,3.621,69.58.106.82
="2026-07-30 08:16:45",25.55,990.68,40.67,3.600,69.58.106.82
="2026-07-30 08:18:32",25.15,990.62,39.71,2.976,69.58.106.82
="2026-08-01 04:39:25",31.58,986.45,46.78,3.559,142.189.5.66
="2026-08-01 04:39:42",31.26,986.39,47.78,3.597,142.189.5.66
="2026-08-01 04:39:59",30.97,986.57,48.75,3.551,142.189.5.66
="2026-08-01 04:40:17",30.69,986.54,51.55,3.597,142.189.5.66
="2026-08-01 04:40:34",30.50,986.48,51.10,3.592,142.189.5.66
="2026-08-01 04:40:51",30.27,986.66,51.32,3.579,142.189.5.66
="2026-08-01 04:49:41",35.40,986.18,38.43,3.554,142.189.5.66
="2026-08-10 09:35:21",25.33,988.16,51.27,3.559,69.58.106.82
="2026-08-10 09:35:24",25.33,988.16,51.27,3.559,69.58.106.82
="2026-08-10 09:35:46",25.40,988.08,50.84,3.559,69.58.106.82
="2026-08-10 09:55:35",25.33,988.16,51.27,3.559,69.58.106.82
="2026-08-10 10:01:16",24.37,987.62,54.20,3.623,69.58.106.82
="2026-08-10 10:04:57",25.13,987.60,52.07,3.579,69.58.106.82
="2026-08-10 10:12:05",25.07,987.51,51.96,3.616,69.58.106.82
="2026-08-10 10:12:47",25.10,987.51,51.90,3.592,69.58.106.82
="2026-08-10 10:13:54",25.06,987.54,52.28,3.572,69.58.106.82
="2026-08-10 10:21:31",25.29,987.96,51.86,3.579,69.58.106.82
="2026-08-10 10:22:01",25.18,987.99,51.79,3.574,69.58.106.82
="2026-08-10 10:22:20",25.18,988.08,51.80,3.564,69.58.106.82
="2026-08-10 10:23:18",25.24,988.08,53.10,3.567,69.58.106.82
="2026-08-10 10:23:40",25.24,988.05,52.07,3.559,69.58.106.82
="2026-08-10 10:24:07",25.21,988.05,52.22,3.561,69.58.106.82
="2026-08-10 10:24:30",25.27,988.13,52.03,3.561,69.58.106.82
="2026-08-10 10:24:49",25.26,988.05,53.34,3.577,69.58.106.82
="2026-08-10 10:26:41",25.11,988.08,52.13,3.574,69.58.106.82
="2026-08-10 10:27:27",25.09,988.10,52.12,3.574,69.58.106.82
="2026-08-10 10:28:02",25.04,988.11,52.98,3.572,69.58.106.82
="2026-08-10 10:31:38",25.28,988.10,51.36,3.569,208.98.222.11
="2026-08-10 10:31:58",25.30,988.19,52.45,3.572,208.98.222.11
="2026-08-10 10:32:25",25.30,988.10,51.74,3.574,208.98.222.11
="2026-08-10 10:36:57",24.73,987.91,54.98,3.603,208.98.222.11
="2026-08-10 10:38:53",24.76,987.88,54.49,3.605,208.98.222.11
="2026-08-10 10:43:30",24.17,988.05,54.60,3.597,208.98.222.11
="2026-08-10 10:52:28",28.34,987.96,43.70,3.618,69.58.106.82
="2026-08-10 10:52:50",27.71,987.93,44.37,3.592,69.58.106.82
="2026-08-10 10:53:15",27.15,987.96,45.71,3.597,69.58.106.82
="2026-08-10 10:54:07",26.43,987.90,47.68,3.595,69.58.106.82
="2026-08-10 10:55:56",25.32,988.02,53.62,3.597,69.58.106.82
="2026-08-10 11:06:16",23.82,987.91,54.89,3.629,69.58.106.82
="2026-08-11 03:21:51",20.45,990.24,60.96,3.634,69.58.106.82
="2026-08-11 03:44:33",23.14,990.16,51.69,3.637,69.58.106.82
="2026-08-11 03:56:11",22.51,990.24,51.30,3.613,69.58.106.82
="2026-08-11 03:59:51",22.50,990.27,51.64,3.618,69.58.106.82
="2026-08-11 04:03:30",22.56,990.35,53.37,3.618,69.58.106.82
="2026-08-11 04:07:24",22.57,990.35,51.61,3.623,69.58.106.82
="2026-08-11 04:11:03",22.43,990.30,52.15,3.616,69.58.106.82
="2026-08-11 04:15:11",22.45,990.16,51.30,3.621,69.58.106.82
="2026-08-11 04:18:52",22.66,990.13,52.70,3.597,69.58.106.82
="2026-08-11 04:20:48",22.81,990.18,50.42,3.600,69.58.106.82
="2026-08-11 04:28:54",23.02,990.18,50.26,3.597,69.58.106.82
="2026-08-11 10:35:05",22.98,990.04,49.62,3.618,69.58.106.82
